Entity,Code,Date,daily_new_confirmed,annotations,icl_mean,icl_lower,icl_upper
Australia,AUS,2020-02-25,1.0,,24.74,2.48,70.05
Australia,AUS,2020-02-26,1.0,,28.4,3.0,74.4
Australia,AUS,2020-02-27,1.14286,,34.52,4.47,88.77
Australia,AUS,2020-02-28,0.85714,,40.03,4.47,94.57
Australia,AUS,2020-02-29,0.57143,,45.45,4.0,110.82
Australia,AUS,2020-03-01,0.57143,,54.57,6.47,138.72
Australia,AUS,2020-03-02,1.0,,62.18,7.47,167.62
Australia,AUS,2020-03-03,1.5714299999999999,,73.88,7.95,193.15
Australia,AUS,2020-03-04,2.71429,,87.67,8.47,231.92
Australia,AUS,2020-03-05,4.14286,,99.39,8.9,256.7
Australia,AUS,2020-03-06,5.14286,,116.96,8.33,299.95
Australia,AUS,2020-03-07,5.42857,,138.03,15.38,368.77
Australia,AUS,2020-03-08,6.857139999999999,,163.0,11.85,431.6
Australia,AUS,2020-03-09,7.285710000000001,,190.01,16.95,490.3
Australia,AUS,2020-03-10,9.57143,,214.74,19.48,583.92
Australia,AUS,2020-03-11,10.14286,,239.13,21.0,637.75
Australia,AUS,2020-03-12,10.57143,,276.15,25.95,729.85
Australia,AUS,2020-03-13,13.85714,,320.71,30.85,853.8
Australia,AUS,2020-03-14,19.14286,,380.07,30.42,1019.35
Australia,AUS,2020-03-15,25.0,,446.92,40.9,1203.25
Australia,AUS,2020-03-16,31.14286,,512.95,52.95,1369.2
Australia,AUS,2020-03-17,39.285709999999995,,590.43,55.95,1567.7
Australia,AUS,2020-03-18,48.85714,,696.13,67.85,1851.75
Australia,AUS,2020-03-19,62.714290000000005,,805.48,73.9,2112.02
Australia,AUS,2020-03-20,79.0,,921.35,92.42,2436.1
Australia,AUS,2020-03-21,96.71429,,1036.74,104.7,2703.15
Australia,AUS,2020-03-22,121.28571000000001,,1146.29,108.28,3071.65
Australia,AUS,2020-03-23,201.57143,,1228.25,127.33,3301.87
Australia,AUS,2020-03-24,206.85714,,1296.21,125.47,3454.37
Australia,AUS,2020-03-25,281.28571,,1361.68,138.8,3627.82
Australia,AUS,2020-03-26,319.14286,,1371.06,133.32,3646.37
Australia,AUS,2020-03-27,351.0,,1346.33,131.93,3640.25
Australia,AUS,2020-03-28,357.71429,,1298.63,126.0,3451.5
Australia,AUS,2020-03-29,387.28571,,1236.89,113.8,3258.85
Australia,AUS,2020-03-30,340.57142999999996,,1169.41,107.0,3080.92
Australia,AUS,2020-03-31,390.57142999999996,,1071.4,94.42,2866.22
Australia,AUS,2020-04-01,326.28571,,980.0,79.7,2593.57
Australia,AUS,2020-04-02,311.0,,889.43,88.9,2401.8
Australia,AUS,2020-04-03,294.0,,814.23,69.43,2091.27
Australia,AUS,2020-04-04,310.0,,737.92,69.47,1978.1
Australia,AUS,2020-04-05,268.28571,,679.36,62.33,1749.77
Australia,AUS,2020-04-06,235.85714,,625.66,50.95,1638.2
Australia,AUS,2020-04-07,183.85714,,565.77,52.48,1447.12
Australia,AUS,2020-04-08,178.42857,,516.17,44.0,1329.4
Australia,AUS,2020-04-09,153.71428999999998,,474.72,44.9,1200.42
Australia,AUS,2020-04-10,132.57143,,442.94,34.75,1097.2
Australia,AUS,2020-04-11,98.57143,,416.6,41.47,1131.65
Australia,AUS,2020-04-12,86.0,,367.7,31.85,945.25
Australia,AUS,2020-04-13,82.57143,,327.72,30.48,836.72
Australia,AUS,2020-04-14,74.57143,,290.33,24.9,761.55
Australia,AUS,2020-04-15,65.71429,,245.01,23.48,641.02
Australia,AUS,2020-04-16,58.0,,222.09,14.95,573.27
Australia,AUS,2020-04-17,49.285709999999995,,200.13,19.33,504.77
Australia,AUS,2020-04-18,42.14286,,185.46,14.0,470.35
Australia,AUS,2020-04-19,42.42857,,174.11,14.43,438.8
Australia,AUS,2020-04-20,41.42857,,162.6,11.9,405.67
Australia,AUS,2020-04-21,37.0,,149.48,10.95,383.35
Australia,AUS,2020-04-22,33.0,,139.05,8.38,368.9
Australia,AUS,2020-04-23,28.0,,129.0,8.95,331.82
Australia,AUS,2020-04-24,24.28571,,117.68,8.85,280.1
Australia,AUS,2020-04-25,22.0,,109.22,8.47,280.0
Australia,AUS,2020-04-26,16.71429,,101.64,6.9,253.05
Australia,AUS,2020-04-27,14.42857,,93.73,5.9,223.2
Australia,AUS,2020-04-28,14.28571,,86.2,7.95,203.05
Australia,AUS,2020-04-29,13.0,,82.19,5.47,194.1
Australia,AUS,2020-04-30,13.14286,,77.84,7.47,208.82
Australia,AUS,2020-05-01,13.57143,,69.53,6.47,177.12
Australia,AUS,2020-05-02,11.42857,,65.11,3.48,169.67
Australia,AUS,2020-05-03,11.42857,,62.19,3.95,155.55
Australia,AUS,2020-05-04,12.57143,,60.41,5.47,147.15
Australia,AUS,2020-05-05,14.28571,,57.56,2.0,143.57
Australia,AUS,2020-05-06,15.85714,,54.76,3.95,145.57
Australia,AUS,2020-05-07,18.42857,,49.55,3.48,122.82
Australia,AUS,2020-05-08,19.14286,,48.16,3.95,128.1
Australia,AUS,2020-05-09,21.0,,45.78,2.48,123.97
Australia,AUS,2020-05-10,20.85714,,46.37,2.0,118.57
Australia,AUS,2020-05-11,20.0,,46.27,4.43,112.25
Australia,AUS,2020-05-12,17.57143,,45.19,2.48,113.52
Australia,AUS,2020-05-13,16.42857,,43.97,3.48,109.15
Australia,AUS,2020-05-14,14.28571,,42.79,3.48,105.1
Australia,AUS,2020-05-15,13.28571,,41.45,3.48,105.52
Australia,AUS,2020-05-16,15.0,,40.37,2.48,99.57
Australia,AUS,2020-05-17,15.28571,,37.91,2.43,93.1
Australia,AUS,2020-05-18,14.85714,,38.47,2.43,97.77
Australia,AUS,2020-05-19,16.0,,38.14,1.95,93.52
Australia,AUS,2020-05-20,14.85714,,38.6,2.48,93.0
Australia,AUS,2020-05-21,14.85714,,37.55,2.0,87.67
Australia,AUS,2020-05-22,13.14286,,37.5,2.48,96.72
Australia,AUS,2020-05-23,10.85714,,36.29,1.0,89.57
Australia,AUS,2020-05-24,10.0,,37.95,1.48,95.05
Australia,AUS,2020-05-25,9.14286,,39.47,2.48,93.0
Australia,AUS,2020-05-26,8.28571,,39.47,2.43,94.52
Australia,AUS,2020-05-27,9.28571,,40.07,4.0,92.3
Australia,AUS,2020-05-28,8.57143,,40.62,2.48,98.62
Australia,AUS,2020-05-29,9.85714,,41.1,4.0,99.2
Australia,AUS,2020-05-30,11.14286,,41.97,3.0,103.0
Australia,AUS,2020-05-31,11.28571,,43.55,1.95,110.07
Australia,AUS,2020-06-01,12.28571,,44.44,5.0,104.62
Australia,AUS,2020-06-02,12.28571,,46.77,2.0,121.45
Australia,AUS,2020-06-03,12.57143,,47.6,2.48,123.52
Australia,AUS,2020-06-04,12.85714,,49.01,4.95,117.67
Australia,AUS,2020-06-05,12.85714,,50.99,4.0,127.12
Australia,AUS,2020-06-06,11.14286,,53.73,3.43,132.25
Australia,AUS,2020-06-07,10.0,,57.3,6.47,136.82
Australia,AUS,2020-06-08,9.28571,,63.56,6.43,143.57
Australia,AUS,2020-06-09,8.71429,,65.82,3.38,166.52
Australia,AUS,2020-06-10,6.57143,,70.77,8.43,172.82
Australia,AUS,2020-06-11,6.714289999999999,,70.97,4.47,177.72
Australia,AUS,2020-06-12,6.42857,,74.36,8.95,169.97
Australia,AUS,2020-06-13,5.57143,,79.01,5.95,200.0
Australia,AUS,2020-06-14,6.714289999999999,,87.04,7.0,218.67
Australia,AUS,2020-06-15,8.57143,,94.58,9.48,249.27
Australia,AUS,2020-06-16,10.0,,99.87,13.48,231.67
Australia,AUS,2020-06-17,11.42857,,108.34,12.38,269.32
Australia,AUS,2020-06-18,13.42857,,114.27,11.9,285.55
Australia,AUS,2020-06-19,15.14286,,124.69,11.47,296.9
Australia,AUS,2020-06-20,17.0,,139.55,11.47,328.1
Australia,AUS,2020-06-21,19.14286,,154.29,16.48,370.95
Australia,AUS,2020-06-22,20.14286,,174.46,17.32,420.6
Australia,AUS,2020-06-23,19.85714,,195.6,25.0,486.77
Australia,AUS,2020-06-24,20.71429,,211.84,16.48,497.92
Australia,AUS,2020-06-25,21.57143,,232.11,19.42,561.72
Australia,AUS,2020-06-26,23.85714,,254.13,23.75,636.62
Australia,AUS,2020-06-27,26.57143,,282.73,26.9,659.35
Australia,AUS,2020-06-28,29.285709999999998,,312.65,34.48,747.65
Australia,AUS,2020-06-29,32.14286,,356.43,30.65,848.52
Australia,AUS,2020-06-30,41.85714,,393.65,43.42,948.35
Australia,AUS,2020-07-01,48.85714,,431.46,41.28,1054.4
Australia,AUS,2020-07-02,57.0,,471.66,52.48,1133.47
Australia,AUS,2020-07-03,63.285709999999995,,513.91,61.08,1208.4
Australia,AUS,2020-07-04,94.28571,,566.82,55.8,1374.87
Australia,AUS,2020-07-05,103.0,,630.71,65.47,1509.0
Australia,AUS,2020-07-06,109.0,,712.99,73.22,1729.57
Australia,AUS,2020-07-07,117.0,,791.53,85.32,1900.82
Australia,AUS,2020-07-08,131.57143,,871.47,91.38,2058.65
Australia,AUS,2020-07-09,138.0,,950.03,90.65,2252.92
Australia,AUS,2020-07-10,151.14286,,1037.74,103.08,2454.65
Australia,AUS,2020-07-11,157.71428999999998,,1131.9,112.43,2727.92
Australia,AUS,2020-07-12,170.14286,,1242.94,123.55,2930.15
Australia,AUS,2020-07-13,192.57143,,1376.56,135.1,3294.47
Australia,AUS,2020-07-14,199.14286,,1517.3,143.28,3607.45
Australia,AUS,2020-07-15,213.71428999999998,,1652.64,161.82,4017.22
Australia,AUS,2020-07-16,229.85714,,1780.52,172.85,4242.4
Australia,AUS,2020-07-17,250.14286,,1898.44,178.52,4595.62
Australia,AUS,2020-07-18,268.0,,2033.62,176.68,4862.15
Australia,AUS,2020-07-19,269.71429,,2205.44,208.32,5274.25
Australia,AUS,2020-07-20,286.42857000000004,,2424.31,233.05,5821.57
Australia,AUS,2020-07-21,298.42857000000004,,2632.41,270.88,6357.95
Australia,AUS,2020-07-22,311.0,,2829.89,274.83,6665.25
Australia,AUS,2020-07-23,343.0,,3023.25,301.25,7182.2
Australia,AUS,2020-07-24,356.57142999999996,,3231.52,317.48,7727.15
Australia,AUS,2020-07-25,337.14286,,3445.3,342.0,8091.65
Australia,AUS,2020-07-26,358.42857000000004,,3734.91,363.08,8915.97
Australia,AUS,2020-07-27,371.57142999999996,,4056.35,419.92,9557.1
Australia,AUS,2020-07-28,409.42857000000004,,4318.1,411.68,10103.0
Australia,AUS,2020-07-29,410.85714,,4550.24,451.0,10810.35
Australia,AUS,2020-07-30,383.71429,,4780.0,469.68,11269.37
Australia,AUS,2020-07-31,428.14286,,4963.56,512.97,11576.35
Australia,AUS,2020-08-01,472.85714,,5071.86,476.65,11930.82
Australia,AUS,2020-08-02,476.0,,5234.87,509.82,12298.6
Australia,AUS,2020-08-03,502.85714,,5480.63,548.78,12897.57
Australia,AUS,2020-08-04,483.28570999999994,,5693.43,568.65,13495.42
Australia,AUS,2020-08-05,489.28570999999994,,5814.46,577.05,13769.32
Australia,AUS,2020-08-06,551.71429,,5857.65,619.2,14076.55
Australia,AUS,2020-08-07,508.42857000000004,,5909.73,608.32,14098.35
Australia,AUS,2020-08-08,481.0,,5911.28,592.98,14147.05
Australia,AUS,2020-08-09,488.0,,5926.69,608.62,14332.92
Australia,AUS,2020-08-10,451.57142999999996,,5970.59,591.12,14387.9
Australia,AUS,2020-08-11,439.85714,,5941.62,585.48,14633.82
Australia,AUS,2020-08-12,426.28570999999994,,5913.48,603.08,14788.75
Australia,AUS,2020-08-13,383.28571,,5843.27,578.9,14782.95
Australia,AUS,2020-08-14,356.57142999999996,,5616.56,550.88,14222.72
Australia,AUS,2020-08-15,353.0,,5372.21,549.88,13667.72
Australia,AUS,2020-08-16,333.85714,,5121.31,514.38,12965.25
Australia,AUS,2020-08-17,314.85714,,4928.35,497.88,12368.15
Australia,AUS,2020-08-18,314.57142999999996,,4741.1,492.3,11762.62
Australia,AUS,2020-08-19,294.28571,,4498.52,451.98,11125.05
Australia,AUS,2020-08-20,266.57142999999996,,4284.61,435.32,10757.85
Australia,AUS,2020-08-21,268.28571,,4081.17,404.65,10125.35
Australia,AUS,2020-08-22,237.71428999999998,,3890.61,409.7,9651.62
Australia,AUS,2020-08-23,223.85714,,3745.83,382.65,9208.12
Australia,AUS,2020-08-24,217.71428999999998,,3631.5,379.12,8936.77
Australia,AUS,2020-08-25,188.14286,,3504.98,363.92,8583.72
Australia,AUS,2020-08-26,182.85714,,3347.92,329.5,8145.52
Australia,AUS,2020-08-27,173.14286,,3180.83,327.85,7613.87
Australia,AUS,2020-08-28,155.14286,,2956.65,310.78,7170.9
Australia,AUS,2020-08-29,148.71428999999998,,2748.64,275.12,6657.52
Australia,AUS,2020-08-30,135.0,,2566.29,266.55,6267.05
Australia,AUS,2020-08-31,122.57143,,2409.7,239.12,5772.35
Australia,AUS,2020-09-01,118.57143,,2253.55,236.95,5397.95
Australia,AUS,2020-09-02,109.42857,,2087.22,223.05,5002.72
Australia,AUS,2020-09-03,102.57143,,1910.07,208.95,4654.35
Australia,AUS,2020-09-04,103.85714,,1774.62,206.32,4329.5
Australia,AUS,2020-09-05,98.28571,,1645.78,179.18,3936.07
Australia,AUS,2020-09-06,94.28571,,1537.19,167.98,3682.87
Australia,AUS,2020-09-07,87.0,,1466.46,165.0,3511.25
Australia,AUS,2020-09-08,82.28571,,1378.57,160.18,3309.27
Australia,AUS,2020-09-09,79.28571,,1286.47,138.82,3033.95
Australia,AUS,2020-09-10,77.42857,,1171.48,130.95,2856.3
Australia,AUS,2020-09-11,66.28571,,1070.1,117.43,2556.2
Australia,AUS,2020-09-12,61.285709999999995,,970.74,105.0,2218.77
Australia,AUS,2020-09-13,57.14286,,884.86,88.9,2083.3
Australia,AUS,2020-09-14,53.14286,,815.13,91.38,1900.2
Australia,AUS,2020-09-15,52.85714,,754.59,77.95,1696.62
Australia,AUS,2020-09-16,52.0,,690.38,84.0,1520.62
Australia,AUS,2020-09-17,44.85714,,631.17,67.9,1392.75
Australia,AUS,2020-09-18,42.85714,,578.98,68.38,1285.65
Australia,AUS,2020-09-19,42.285709999999995,,527.32,60.38,1117.77
Australia,AUS,2020-09-20,39.714290000000005,,487.71,58.0,1044.22
Australia,AUS,2020-09-21,35.285709999999995,,452.99,48.17,953.6
Australia,AUS,2020-09-22,31.42857,,413.03,39.28,873.95
Australia,AUS,2020-09-23,29.14286,,380.29,39.33,791.32
Australia,AUS,2020-09-24,27.714290000000002,,344.87,38.45,728.1
Australia,AUS,2020-09-25,24.28571,,314.72,31.23,643.25
Australia,AUS,2020-09-26,19.85714,,283.36,24.65,588.15
Australia,AUS,2020-09-27,18.71429,,262.74,31.0,556.27
Australia,AUS,2020-09-28,20.28571,,242.42,21.0,517.25
Australia,AUS,2020-09-29,18.85714,,223.07,27.42,441.3
Australia,AUS,2020-09-30,17.28571,,203.41,22.0,405.27
Australia,AUS,2020-10-01,12.85714,,184.24,14.85,371.15
Australia,AUS,2020-10-02,16.14286,,167.94,15.0,329.58
Australia,AUS,2020-10-03,16.14286,,149.97,18.48,315.52
Australia,AUS,2020-10-04,15.0,,139.85,16.7,286.2
Australia,AUS,2020-10-05,13.71429,,132.47,16.0,279.1
Australia,AUS,2020-10-06,15.0,,121.81,13.9,251.0
Australia,AUS,2020-10-07,15.85714,,107.95,9.9,222.0
Australia,AUS,2020-10-08,17.0,,96.12,8.43,206.15
Australia,AUS,2020-10-09,15.71429,,90.12,4.95,197.62
Australia,AUS,2020-10-10,16.57143,,79.66,10.48,175.25
Australia,AUS,2020-10-11,17.57143,,72.85,6.47,166.25
Australia,AUS,2020-10-12,18.28571,,70.6,6.47,161.1
Australia,AUS,2020-10-13,19.57143,,65.04,4.43,143.05
Australia,AUS,2020-10-14,20.42857,,60.43,4.0,145.15
Australia,AUS,2020-10-15,22.71429,,55.81,3.48,128.52
Australia,AUS,2020-10-16,22.28571,,51.18,3.0,118.52
Australia,AUS,2020-10-17,20.28571,,48.91,4.47,107.05
Australia,AUS,2020-10-18,19.85714,,45.81,6.47,106.57
Australia,AUS,2020-10-19,18.0,,43.6,3.48,100.52
Australia,AUS,2020-10-20,16.14286,,40.49,2.48,99.57
Australia,AUS,2020-10-21,16.14286,,37.41,2.48,85.1
Australia,AUS,2020-10-22,14.71429,,35.22,1.48,86.62
Australia,AUS,2020-10-23,14.85714,,32.35,3.43,86.3
Australia,AUS,2020-10-24,16.14286,,28.84,1.48,77.4
Australia,AUS,2020-10-25,16.57143,,27.49,1.95,68.52
Australia,AUS,2020-10-26,18.57143,,,,
Australia,AUS,2020-10-27,18.28571,,,,
Australia,AUS,2020-10-28,15.85714,,,,
Australia,AUS,2020-10-29,15.71429,,,,
Australia,AUS,2020-10-30,14.71429,,,,
Australia,AUS,2020-10-31,14.0,,,,
Australia,AUS,2020-11-01,13.0,,,,
Australia,AUS,2020-11-02,10.71429,,,,
Australia,AUS,2020-11-03,10.71429,,,,
Brazil,BRA,2020-01-02,0.0,,,,
Brazil,BRA,2020-01-03,0.0,,,,
Brazil,BRA,2020-01-04,0.0,,,,
Brazil,BRA,2020-01-05,0.0,,,,
Brazil,BRA,2020-01-06,0.0,,,,
Brazil,BRA,2020-01-07,0.0,,,,
Brazil,BRA,2020-01-08,0.0,,,,
Brazil,BRA,2020-01-09,0.0,,,,
Brazil,BRA,2020-01-10,0.0,,,,
Brazil,BRA,2020-01-11,0.0,,,,
Brazil,BRA,2020-01-12,0.0,,,,
Brazil,BRA,2020-01-13,0.0,,,,
Brazil,BRA,2020-01-14,0.0,,,,
Brazil,BRA,2020-01-15,0.0,,,,
Brazil,BRA,2020-01-16,0.0,,,,
Brazil,BRA,2020-01-17,0.0,,,,
Brazil,BRA,2020-01-18,0.0,,,,
Brazil,BRA,2020-01-19,0.0,,,,
Brazil,BRA,2020-01-20,0.0,,,,
Brazil,BRA,2020-01-21,0.0,,,,
Brazil,BRA,2020-01-22,0.0,,,,
Brazil,BRA,2020-01-23,0.0,,,,
Brazil,BRA,2020-01-24,0.0,,,,
Brazil,BRA,2020-01-25,0.0,,,,
Brazil,BRA,2020-01-26,0.0,,,,
Brazil,BRA,2020-01-27,0.0,,,,
Brazil,BRA,2020-01-28,0.0,,,,
Brazil,BRA,2020-01-29,0.0,,,,
Brazil,BRA,2020-01-30,0.0,,,,
Brazil,BRA,2020-01-31,0.0,,,,
Brazil,BRA,2020-02-01,0.0,,,,
Brazil,BRA,2020-02-02,0.0,,,,
Brazil,BRA,2020-02-03,0.0,,0.0,0.0,0.0
Brazil,BRA,2020-02-04,0.0,,0.38,0.0,1.0
Brazil,BRA,2020-02-05,0.0,,0.68,0.0,2.35
Brazil,BRA,2020-02-06,0.0,,0.76,0.0,2.55
Brazil,BRA,2020-02-07,0.0,,0.94,0.0,3.0
Brazil,BRA,2020-02-08,0.0,,0.95,0.0,3.0
Brazil,BRA,2020-02-09,0.0,,1.51,0.0,3.0
Brazil,BRA,2020-02-10,0.0,,1.55,0.0,4.0
Brazil,BRA,2020-02-11,0.0,,2.0,0.0,6.0
Brazil,BRA,2020-02-12,0.0,,2.4,0.0,6.0
Brazil,BRA,2020-02-13,0.0,,2.82,0.0,6.0
Brazil,BRA,2020-02-14,0.0,,3.35,0.0,7.52
Brazil,BRA,2020-02-15,0.0,,4.78,1.0,9.52
Brazil,BRA,2020-02-16,0.0,,5.67,1.0,11.0
Brazil,BRA,2020-02-17,0.0,,7.41,3.0,16.05
Brazil,BRA,2020-02-18,0.0,,9.07,1.48,15.52
Brazil,BRA,2020-02-19,0.0,,11.37,4.47,20.05
Brazil,BRA,2020-02-20,0.0,,14.26,6.47,25.52
Brazil,BRA,2020-02-21,0.0,,18.34,9.48,30.0
Brazil,BRA,2020-02-22,0.0,,23.26,11.47,36.0
Brazil,BRA,2020-02-23,0.0,,30.21,15.47,46.52
Brazil,BRA,2020-02-24,0.0,,37.15,16.42,58.57
Brazil,BRA,2020-02-25,0.0,,46.59,26.0,73.57
Brazil,BRA,2020-02-26,0.14286,,54.52,26.48,82.05
Brazil,BRA,2020-02-27,0.14286,,60.48,32.95,89.1
Brazil,BRA,2020-02-28,0.14286,,71.39,42.42,103.52
Brazil,BRA,2020-02-29,0.14286,,92.31,48.17,137.1
Brazil,BRA,2020-03-01,0.28570999999999996,,119.65,61.42,172.57
Brazil,BRA,2020-03-02,0.28570999999999996,,149.21,79.38,208.77
Brazil,BRA,2020-03-03,0.28570999999999996,,190.37,106.8,276.77
Brazil,BRA,2020-03-04,0.14286,,241.56,129.8,333.05
Brazil,BRA,2020-03-05,0.28570999999999996,,310.96,179.88,433.1
Brazil,BRA,2020-03-06,1.0,,397.66,215.7,537.77
Brazil,BRA,2020-03-07,1.71429,,519.04,277.5,694.62
Brazil,BRA,2020-03-08,1.5714299999999999,,674.41,344.48,901.27
Brazil,BRA,2020-03-09,3.28571,,872.98,487.55,1186.1
Brazil,BRA,2020-03-10,3.28571,,1130.36,605.3,1476.12
Brazil,BRA,2020-03-11,4.57143,,1463.44,744.8,2003.92
Brazil,BRA,2020-03-12,7.0,,1891.99,973.55,2507.12
Brazil,BRA,2020-03-13,9.85714,,2448.49,1263.25,3303.75
Brazil,BRA,2020-03-14,12.14286,,3158.99,1653.18,4348.67
Brazil,BRA,2020-03-15,15.42857,,4084.64,2184.02,5564.35
Brazil,BRA,2020-03-16,25.0,,5183.09,2700.35,7151.2
Brazil,BRA,2020-03-17,29.85714,,6523.88,3390.2,9043.3
Brazil,BRA,2020-03-18,36.714290000000005,,8189.06,4231.88,11117.22
Brazil,BRA,2020-03-19,53.714290000000005,,10135.35,5351.12,13977.3
Brazil,BRA,2020-03-20,77.71429,,12241.67,6342.4,16893.03
Brazil,BRA,2020-03-21,115.14286000000001,,14383.56,7486.6,19957.58
Brazil,BRA,2020-03-22,143.85714,,16466.45,8564.75,23068.95
Brazil,BRA,2020-03-23,192.28571000000002,,18072.41,9497.95,25046.27
Brazil,BRA,2020-03-24,236.71428999999998,,19249.36,10116.47,26892.15
Brazil,BRA,2020-03-25,272.85714,,20300.5,10576.15,28405.15
Brazil,BRA,2020-03-26,286.42857000000004,,21192.48,11029.4,29652.65
Brazil,BRA,2020-03-27,327.71429,,22088.4,11420.17,30801.57
Brazil,BRA,2020-03-28,359.0,,23184.74,12104.4,32585.15
Brazil,BRA,2020-03-29,396.57142999999996,,24567.05,12938.2,34569.0
Brazil,BRA,2020-03-30,387.14286,,26142.74,13570.92,36903.77
Brazil,BRA,2020-03-31,384.0,,27873.5,14496.5,39396.67
Brazil,BRA,2020-04-01,502.28570999999994,,29916.57,15728.95,42160.3
Brazil,BRA,2020-04-02,629.0,,32309.88,16912.8,46001.9
Brazil,BRA,2020-04-03,713.57143,,35101.24,18336.6,50000.65
Brazil,BRA,2020-04-04,805.57143,,38146.6,19943.97,54304.12
Brazil,BRA,2020-04-05,910.5714300000001,,41695.0,22002.38,59395.22
Brazil,BRA,2020-04-06,982.0,,45754.63,24105.97,65471.05
Brazil,BRA,2020-04-07,1068.14286,,50233.98,26482.78,71933.75
Brazil,BRA,2020-04-08,1142.85714,,55255.77,29067.0,79322.4
Brazil,BRA,2020-04-09,1298.7142900000001,,60796.28,32380.1,87699.55
Brazil,BRA,2020-04-10,1421.0,,66925.28,35488.43,96628.05
Brazil,BRA,2020-04-11,1511.7142900000001,,73621.74,38922.57,106582.07
Brazil,BRA,2020-04-12,1492.7142900000001,,79975.08,42679.43,116070.82
Brazil,BRA,2020-04-13,1577.0,,87517.72,46544.18,127600.7
Brazil,BRA,2020-04-14,1624.85714,,95193.72,50274.82,139181.12
Brazil,BRA,2020-04-15,1649.2857099999999,,101198.7,52983.45,147061.2
Brazil,BRA,2020-04-16,1770.42857,,106344.23,55328.18,153817.02
Brazil,BRA,2020-04-17,1795.42857,,111553.09,57607.35,161182.82
Brazil,BRA,2020-04-18,2006.28571,,117317.05,59920.78,169076.77
Brazil,BRA,2020-04-19,2267.42857,,123718.81,63052.18,177430.07
Brazil,BRA,2020-04-20,2355.0,,130509.83,65741.3,187100.35
Brazil,BRA,2020-04-21,2450.14286,,137499.19,68560.88,197386.3
Brazil,BRA,2020-04-22,2545.28571,,144534.3,71277.0,207198.7
Brazil,BRA,2020-04-23,2491.0,,151058.21,74181.38,215319.87
Brazil,BRA,2020-04-24,2723.85714,,158759.94,78133.1,225771.77
Brazil,BRA,2020-04-25,2759.0,,167159.05,81733.07,237159.8
Brazil,BRA,2020-04-26,3130.0,,176473.5,85243.2,250049.62
Brazil,BRA,2020-04-27,3319.14286,,186271.61,89545.15,264429.32
