Entity,Code,Date,"Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned)","Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned) Annotations","Daily new estimated infections of COVID-19 (ICL, mean)","Daily new estimated infections of COVID-19 (IHME, mean)","Daily new estimated infections of COVID-19 (YYG, mean)","Daily new estimated infections of COVID-19 (LSHTM, median)"
Afghanistan,AFG,2020-03-21,2.42857,,295.07,1016.24478474625,,
Afghanistan,AFG,2020-03-22,2,,332.27,1078.02546561619,,
Afghanistan,AFG,2020-03-23,2.57143,,367.01,1138.04709694737,,
Afghanistan,AFG,2020-03-24,2.71429,,416.51,1196.57539127108,,
Afghanistan,AFG,2020-03-25,2.85714,,479.45,1254.09408062032,,
Afghanistan,AFG,2020-03-26,7.57143,,546.27,1311.28484945737,,68.9920554190085
Afghanistan,AFG,2020-03-27,7.57143,,620.51,1368.98397940298,,69.80116591761
Afghanistan,AFG,2020-03-28,9.57143,,703.6,1428.13369683915,,89.176932025364
Afghanistan,AFG,2020-03-29,11.71429,,795.63,1489.73354559701,,110.163728294147
Afghanistan,AFG,2020-03-30,11.42857,,857.05,1554.79798766863,,108.333175792121
Afghanistan,AFG,2020-03-31,14.42857,,904.45,1624.33559054935,,137.632212590392
Afghanistan,AFG,2020-04-01,17.71429,,948.29,1699.35091698708,,169.735217288433
Afghanistan,AFG,2020-04-02,16.71429,,980.65,1780.86656574497,,160.575813316141
Afghanistan,AFG,2020-04-03,22.85714,,1016.28,1869.91908312921,,219.721051448064
Afghanistan,AFG,2020-04-04,20.57143,,1075.46,1967.5231843999,,197.427988457495
Afghanistan,AFG,2020-04-05,23.42857,,1162.51,2074.63233702957,,223.976199358201
Afghanistan,AFG,2020-04-06,26.42857,,1237.05,2192.07881442725,,251.056008122458
Afghanistan,AFG,2020-04-07,28,,1299.35,2320.50434781533,,263.632149585617
Afghanistan,AFG,2020-04-08,28.71429,,1363.83,2460.25443517421,,267.279007668863
Afghanistan,AFG,2020-04-09,33,,1408.5,2611.28226886756,,302.885880448242
Afghanistan,AFG,2020-04-10,35.57143,,1443.61,2773.06599091078,,321.079719913049
Afghanistan,AFG,2020-04-11,40.85714,,1486.41,2944.5273147894,,361.742739119142
Afghanistan,AFG,2020-04-12,40.71429,,1550.22,3123.96829715035,,352.67779670741
Afghanistan,AFG,2020-04-13,44,,1609.6,3309.04046779394,,371.967082411668
Afghanistan,AFG,2020-04-14,46.85714,,1656.8,3496.77233635333,,385.659775726425
Afghanistan,AFG,2020-04-15,49.57143,,1691.15,3683.6069739939,,396.325122905023
Afghanistan,AFG,2020-04-16,51.57143,,1736.28,3865.50284724585,,399.673766463029
Afghanistan,AFG,2020-04-17,44.28571,,1778.68,4038.13283493289,,332.04772338569
Afghanistan,AFG,2020-04-18,46.28571,,1844.89,4197.14292430462,,335.165680896132
Afghanistan,AFG,2020-04-19,50.42857,,1892.78,4338.4693637028,,352.12681671402
Afghanistan,AFG,2020-04-20,55.57143,,1956.27,4458.76450889956,,373.684889013616
Afghanistan,AFG,2020-04-21,52.28571,,2018.14,4555.84713093301,,338.229788801877
Afghanistan,AFG,2020-04-22,54,,2072.83,4629.00529008479,,335.755602948673
Afghanistan,AFG,2020-04-23,56,,2141.84,4679.08785235785,,334.471593016546
Afghanistan,AFG,2020-04-24,69.57143,,2199.28,4708.41854039094,,399.010572294949
Afghanistan,AFG,2020-04-25,72.28571,,2277.75,4720.528281357,,398.053913537386
Afghanistan,AFG,2020-04-26,79.28571,,2346.65,4719.81098428491,,419.240621219583
Afghanistan,AFG,2020-04-27,76.42857,,2422.48,4711.1552106816,,388.194483130598
Afghanistan,AFG,2020-04-28,96,,2489.53,4699.67482238868,,468.624709742616
Afghanistan,AFG,2020-04-29,105,,2561.69,4690.55015334472,,492.983608798187
Afghanistan,AFG,2020-04-30,110.42857,,2644.12,4688.92927888046,,499.141913366203
Afghanistan,AFG,2020-05-01,127.14286,,2722.21,4699.82578838551,,553.879055004555
Afghanistan,AFG,2020-05-02,140.57143,,2812.55,4727.96237426512,,590.951553459816
Afghanistan,AFG,2020-05-03,143.71429,,2897.65,4777.67410064365,,583.850420006399
Afghanistan,AFG,2020-05-04,167.57143,,2996.67,4852.7886484752,,658.890699971908
Afghanistan,AFG,2020-05-05,170.14286,,3071.79,4956.4238270476,,648.56179237267
Afghanistan,AFG,2020-05-06,199.57143,,3168.1,5090.99271714913,,738.764094154827
Afghanistan,AFG,2020-05-07,206.14286,,3264.76,5258.3406003904,,742.380650809911
Afghanistan,AFG,2020-05-08,198.85714,,3365.23,5459.86544474217,,697.9926819959
Afghanistan,AFG,2020-05-09,206.14286,,3480.72,5696.66209686513,,706.561909829168
Afghanistan,AFG,2020-05-10,223.42857,,3591.95,5969.65331909271,,749.246208746234
Afghanistan,AFG,2020-05-11,242.57143,,3737.52,6279.55052909085,,797.38168566243
Afghanistan,AFG,2020-05-12,256.14286,,3860.2,6626.68779549186,,826.978687070133
Afghanistan,AFG,2020-05-13,249,,3997.51,7010.77419745017,,791.110822549945
Afghanistan,AFG,2020-05-14,262,,4127.93,7430.58924252504,,820.737077956451
Afghanistan,AFG,2020-05-15,253.71429,,4276.66,7883.7712523349,,785.137578504459
Afghanistan,AFG,2020-05-16,374.85714,,4431,8366.69219744746,,1148.13707115471
Afghanistan,AFG,2020-05-17,338.42857,,4617.7,8874.46192621677,,1027.88708008917
Afghanistan,AFG,2020-05-18,323.14286,,4797.7,9401.00965754299,,975.082057040215
Afghanistan,AFG,2020-05-19,340.71429,,4978.01,9939.12320437787,,1023.34390621667
Afghanistan,AFG,2020-05-20,383.71429,,5159.41,10480.4775676418,,1149.32079163544
Afghanistan,AFG,2020-05-21,417,,5362.43,11015.6320963386,,1247.93286411136
Afghanistan,AFG,2020-05-22,476.71429,,5565.58,11533.9830125542,,1428.10402465399
Afghanistan,AFG,2020-05-23,402,,5767.29,12023.8466015705,,1207.83815135558
Afghanistan,AFG,2020-05-24,513.71429,,5950.09,12472.9485294264,,1551.06831717472
Afghanistan,AFG,2020-05-25,559.71429,,6110.84,12869.3769804292,,1701.6263738926
Afghanistan,AFG,2020-05-26,585.85714,,6292.11,13203.0080011972,,1797.04485155054
Afghanistan,AFG,2020-05-27,596.85714,,6463.82,13466.9411762773,,1851.0144595065
Afghanistan,AFG,2020-05-28,615.85714,,6649.44,13658.7985098271,,1935.17123832053
Afghanistan,AFG,2020-05-29,622.85714,,6849.08,13781.3040258827,,1987.38562378729
Afghanistan,AFG,2020-05-30,634.71429,,7052.2,13841.8760337309,,2061.14008186124
Afghanistan,AFG,2020-05-31,646.71429,,7254.92,13851.6271138,,2142.32322376969
Afghanistan,AFG,2020-06-01,660.42857,,7466.99,13823.9976816145,,2237.04018175335
Afghanistan,AFG,2020-06-02,653.85714,,7681.56,13773.4428123371,,2270.16172901441
Afghanistan,AFG,2020-06-03,668.28571,,7907.76,13714.6614479056,,2384.11964385762
Afghanistan,AFG,2020-06-04,687.28571,,8153.81,13662.2629854091,,2525.60827429342
Afghanistan,AFG,2020-06-05,716.85714,,8366.71,13630.6448676995,,2720.13746667678
Afghanistan,AFG,2020-06-06,758.57143,,8616.32,13633.8648911152,,2979.44457414455
Afghanistan,AFG,2020-06-07,718,,8693.53,13685.1112376414,,2925.93923504106
Afghanistan,AFG,2020-06-08,733.85714,,8766.2,13795.8994982037,,3109.78088869844
Afghanistan,AFG,2020-06-09,738.14286,,8805.28,13974.836299873,,3259.49264119944
Afghanistan,AFG,2020-06-10,707.14286,,8863.8,14226.2247507732,,3260.18245738889
Afghanistan,AFG,2020-06-11,696.57143,,8911.43,14548.917330693,,3358.62557832157
Afghanistan,AFG,2020-06-12,690.85714,,8971.74,14936.3070889977,,3488.72594646966
Afghanistan,AFG,2020-06-13,653.85714,,9033.54,15376.6354041384,,3462.0428074175
Afghanistan,AFG,2020-06-14,650.14286,,9087.23,15853.797502319,,3612.18348942675
Afghanistan,AFG,2020-06-15,632,,9168.29,16348.1844153237,,3686.10391343213
Afghanistan,AFG,2020-06-16,658.57143,,9226.29,16837.1395995453,,4032.25226070473
Afghanistan,AFG,2020-06-17,693,,9306.71,17295.3366108009,,4452.42040879523
Afghanistan,AFG,2020-06-18,675.85714,,9376.74,17695.3585135864,,4552.72976445951
Afghanistan,AFG,2020-06-19,663.14286,,9443.76,18008.8261497004,,4677.63202332029
Afghanistan,AFG,2020-06-20,618.85714,,9458.71,18208.2518610099,,4563.22734595564
Afghanistan,AFG,2020-06-21,617.42857,,9338.07,18269.5499783882,,4749.10897185723
Afghanistan,AFG,2020-06-22,581,,9137.04,18174.692699861,,4650.00787177832
Afghanistan,AFG,2020-06-23,516.57143,,8890.73,17914.0688069514,,4289.54206011615
Afghanistan,AFG,2020-06-24,453,,8702.22,17488.23531657,,3890.37422911357
Afghanistan,AFG,2020-06-25,405.85714,,8491.98,16908.1659902161,,3592.23229475615
Afghanistan,AFG,2020-06-26,377.57143,,8340.55,16194.0262850182,,3431.4080782557
Afghanistan,AFG,2020-06-27,367.57143,,8206.61,15372.6912703495,,3416.66685106196
Afghanistan,AFG,2020-06-28,313.14286,,8076.04,14474.3587179707,,2965.11854516389
Afghanistan,AFG,2020-06-29,304.85714,,7949.72,13529.5998509283,,2928.55367901255
Afghanistan,AFG,2020-06-30,299.28571,,7823.69,12567.0814693972,,2904.78903060376
Afghanistan,AFG,2020-07-01,290.85714,,7702.94,11612.2919035874,,2840.60111215368
Afghanistan,AFG,2020-07-02,303,,7595.75,10686.8968753374,,2965.84499893085
Afghanistan,AFG,2020-07-03,263.85714,,7468.67,9808.50225752837,,2578.60941568351
Afghanistan,AFG,2020-07-04,267.57143,,7301.55,8990.59932915255,,2601.28217038462
Afghanistan,AFG,2020-07-05,293.71429,,7043.29,8242.60902743751,,2830.92357035228
Afghanistan,AFG,2020-07-06,283.42857,,6682.78,7570.00251539794,,2699.89072146897
Afghanistan,AFG,2020-07-07,306.57143,,6327.09,6974.8079508644,,2878.1147836528
Afghanistan,AFG,2020-07-08,296.71429,,6013.56,6456.19155694321,,2738.48859663561
Afghanistan,AFG,2020-07-09,259.57143,,5712.49,6011.02050862631,,2350.15816029829
Afghanistan,AFG,2020-07-10,269.42857,,5437.27,5634.62866673646,,2388.80834294715
Afghanistan,AFG,2020-07-11,291.71429,,5173.27,5321.60711331964,,2529.15677832428
Afghanistan,AFG,2020-07-12,254.14286,,4927.3,5066.20851640465,,2152.38504721607
Afghanistan,AFG,2020-07-13,214.28571,,4699.29,4862.57441160907,,1771.55069858607
Afghanistan,AFG,2020-07-14,153,,4489.24,4704.80534057806,,1234.27176654401
Afghanistan,AFG,2020-07-15,163.71429,,4280.82,4586.89702148225,,1288.68085899726
Afghanistan,AFG,2020-07-16,191.57143,,4096.67,4502.62066280221,,1471.76806702631
Afghanistan,AFG,2020-07-17,166,,3896.99,4445.38260033581,,1245.36198077008
Afghanistan,AFG,2020-07-18,131.85714,,3714.18,4408.28234373891,,966.723252949218
Afghanistan,AFG,2020-07-19,121.42857,,3536.84,4384.13753289767,,870.881713603577
Afghanistan,AFG,2020-07-20,146.28571,,3359.13,4365.61812195921,,1027.50323418506
Afghanistan,AFG,2020-07-21,165.71429,,3197.6,4345.41596910449,,1141.44684598875
Afghanistan,AFG,2020-07-22,141,,3034.67,4316.46848850617,,953.800968788385
Afghanistan,AFG,2020-07-23,131.57143,,2907.14,4272.20825632321,,875.404059091961
Afghanistan,AFG,2020-07-24,122.57143,,2751.73,4206.84137090226,,803.421284758087
Afghanistan,AFG,2020-07-25,106.71429,,2619.49,4115.7255111001,,690.241045882417
Afghanistan,AFG,2020-07-26,122.28571,,2489.65,3995.86641584338,,781.8175890814
Afghanistan,AFG,2020-07-27,112.57143,,2367.11,3846.2273939246,,712.573600583573
Afghanistan,AFG,2020-07-28,107.57143,,2257.36,3667.96193794927,,675.288229874249
Afghanistan,AFG,2020-07-29,106.28571,,2143.52,3464.57869321459,,662.766072602658
Afghanistan,AFG,2020-07-30,79.42857,,2046.57,3241.6493133311,,492.752695988659
Afghanistan,AFG,2020-07-31,87.71429,,1945.79,3006.09947290333,,542.162558719564
Afghanistan,AFG,2020-08-01,96.28571,,1851.93,2765.325918481,,593.803965830079
Afghanistan,AFG,2020-08-02,79,,1760.84,2526.55882393613,,486.73609677066
Afghanistan,AFG,2020-08-03,63.85714,,1662.57,2296.30797028818,,393.53445188793
Afghanistan,AFG,2020-08-04,54.14286,,1563.31,2079.93626689266,,334.115054471798
Afghanistan,AFG,2020-08-05,51.14286,,1480.04,1881.4025948756,,316.328755715518
Afghanistan,AFG,2020-08-06,60.71429,,1409.17,1703.27962666017,,376.708013001201
Afghanistan,AFG,2020-08-07,56.42857,,1339.66,1546.86225964261,,351.472251055026
Afghanistan,AFG,2020-08-08,43.57143,,1279.38,1412.37003161763,,272.591328072533
Afghanistan,AFG,2020-08-09,49.14286,,1224.27,1299.24459425875,,308.958124975842
Afghanistan,AFG,2020-08-10,49.14286,,1167.81,1206.42800054274,,310.574966357852
Afghanistan,AFG,2020-08-11,43.85714,,1112.64,1132.5957744252,,278.677330927546
Afghanistan,AFG,2020-08-12,62.85714,,1071.04,1076.2971518372,,
Afghanistan,AFG,2020-08-13,64.14286,,1018.4,1036.11151771074,,
Afghanistan,AFG,2020-08-14,69.57143,,981.16,1010.72705004933,,
Afghanistan,AFG,2020-08-15,59.42857,,942.11,998.943186708463,,
Afghanistan,AFG,2020-08-16,71,,914.31,999.65182342373,,
Afghanistan,AFG,2020-08-17,77.42857,,897.79,1011.81366778251,,
Afghanistan,AFG,2020-08-18,77.85714,,877.32,1034.39300872288,,
Afghanistan,AFG,2020-08-19,47.14286,,864.77,1066.28765272626,,
Afghanistan,AFG,2020-08-20,59.14286,,836.56,1106.26075911162,,
Afghanistan,AFG,2020-08-21,61.71429,,815.28,1152.88586396225,,
Afghanistan,AFG,2020-08-22,66.14286,,795.03,1204.50107201904,,
Afghanistan,AFG,2020-08-23,64,,781.27,1259.19435346821,,
Afghanistan,AFG,2020-08-24,57.57143,,763.71,1314.83751669539,,
Afghanistan,AFG,2020-08-25,67.28571,,750.77,1369.14861923656,,
Afghanistan,AFG,2020-08-26,67.42857,,733.2,1419.81398903416,,
Afghanistan,AFG,2020-08-27,52.42857,,728.62,1464.65595036453,,
Afghanistan,AFG,2020-08-28,39,,712.83,1501.79101233045,,
Afghanistan,AFG,2020-08-29,35.14286,,700.06,1529.76821455766,,
Afghanistan,AFG,2020-08-30,20.57143,,700.36,1547.6816628354,,
Afghanistan,AFG,2020-08-31,23.28571,,697.45,1555.21585840899,,
Afghanistan,AFG,2020-09-01,18,,694.53,1552.61122153555,,
Afghanistan,AFG,2020-09-02,19.14286,,697.53,1540.56585594739,,
Afghanistan,AFG,2020-09-03,16.71429,,695.49,1520.15150257077,,
Afghanistan,AFG,2020-09-04,22.71429,,699.96,1492.71147219753,,
Afghanistan,AFG,2020-09-05,23.42857,,695.59,1459.77805216628,,
Afghanistan,AFG,2020-09-06,25.85714,,694.28,1423.02339741468,,
Afghanistan,AFG,2020-09-07,33.71429,,699.18,1384.18395069915,,
Afghanistan,AFG,2020-09-08,42.57143,,692.47,1344.974503739,,
Afghanistan,AFG,2020-09-09,45,,693.78,1306.99617461022,,
Afghanistan,AFG,2020-09-10,43,,690.79,1271.67989405277,,
Afghanistan,AFG,2020-09-11,40.57143,,691.7,1240.25371133142,,
Afghanistan,AFG,2020-09-12,43.14286,,696.02,1213.73926955302,,
Afghanistan,AFG,2020-09-13,45.28571,,699.6,1192.99315578318,,
Afghanistan,AFG,2020-09-14,45.42857,,710.7,1178.76965704365,,
Afghanistan,AFG,2020-09-15,45.85714,,720.39,1171.76269375951,,
Afghanistan,AFG,2020-09-16,47.85714,,733.81,1172.63630818299,,
Afghanistan,AFG,2020-09-17,46.85714,,743.98,1182.024582386,,
Afghanistan,AFG,2020-09-18,42.85714,,761.72,1200.48557422822,,
Afghanistan,AFG,2020-09-19,44.71429,,770.87,1228.42552638667,,
Afghanistan,AFG,2020-09-20,57.57143,,779.78,1266.04445798005,,
Afghanistan,AFG,2020-09-21,46.85714,,793.61,1313.28829488707,,
Afghanistan,AFG,2020-09-22,37,,799.83,1369.80363644114,,
Afghanistan,AFG,2020-09-23,41.42857,,816.39,1434.88736263319,,
Afghanistan,AFG,2020-09-24,42.57143,,831.86,1507.42152330124,,
Afghanistan,AFG,2020-09-25,44.85714,,840.78,1585.83384297788,,
Afghanistan,AFG,2020-09-26,39,,860.07,1668.06692588565,,
Afghanistan,AFG,2020-09-27,26.14286,,873.32,1751.55266574935,,
Afghanistan,AFG,2020-09-28,26.14286,,893.2,1833.4687496522,,
Afghanistan,AFG,2020-09-29,23.57143,,921.09,1911.01412261612,,
Afghanistan,AFG,2020-09-30,15.57143,,953.04,1981.7812879048,,
Afghanistan,AFG,2020-10-01,14,,975.49,2044.24915609471,,
Afghanistan,AFG,2020-10-02,14.14286,,1005.04,2097.76764152033,,
Afghanistan,AFG,2020-10-03,14,,1023.44,2142.50489545907,,
Afghanistan,AFG,2020-10-04,10,,1055.05,2179.78790537306,,
Afghanistan,AFG,2020-10-05,16.28571,,1077.64,2211.74600746589,,
Afghanistan,AFG,2020-10-06,35.28571,,1110.79,2240.57854830286,,
Afghanistan,AFG,2020-10-07,42,,1147.01,2265.61545218664,,
Afghanistan,AFG,2020-10-08,49.71429,,1179.59,2291.40948951309,,
Afghanistan,AFG,2020-10-09,58.28571,,1208.4,2321.40792349147,,
Afghanistan,AFG,2020-10-10,59,,1241.26,2355.69671563396,,
Afghanistan,AFG,2020-10-11,58,,1270.77,2394.89910851084,,
Afghanistan,AFG,2020-10-12,65.42857,,1303.75,2441.31771284471,,
Afghanistan,AFG,2020-10-13,63.14286,,1343.82,2492.02861514495,,
Afghanistan,AFG,2020-10-14,63.71429,,1389.99,2544.08055783448,,
Afghanistan,AFG,2020-10-15,58.57143,,1430.21,2596.58786098176,,
Afghanistan,AFG,2020-10-16,47.57143,,1471.63,2653.72939994005,,
Afghanistan,AFG,2020-10-17,52.85714,,1510.43,2716.3908589562,,
Afghanistan,AFG,2020-10-18,62.57143,,1562.5,2783.12344131777,,
Afghanistan,AFG,2020-10-19,57.28571,,1598.44,2853.86354519215,,
Afghanistan,AFG,2020-10-20,51.28571,,1641.6,2928.35919432348,,
Afghanistan,AFG,2020-10-21,54.42857,,1691.23,2868.61318005424,,
Afghanistan,AFG,2020-10-22,69.14286,,1754.7,2796.56059507982,,
Afghanistan,AFG,2020-10-23,85.71429,,1802.97,2851.66994779822,,
Afghanistan,AFG,2020-10-24,87.71429,,1852.3,2904.22255421887,,
Afghanistan,AFG,2020-10-25,89.57143,,1910.42,2954.80444458965,,
Afghanistan,AFG,2020-10-26,90.42857,,1960.87,3005.83110115273,,
Afghanistan,AFG,2020-10-27,106.42857,,2021.79,,,
Afghanistan,AFG,2020-10-28,110,,2106.63,,,
Afghanistan,AFG,2020-10-29,90.71429,,2159.03,,,
Afghanistan,AFG,2020-10-30,91.71429,,2229.42,,,
Afghanistan,AFG,2020-10-31,105.42857,,2300.98,,,
Afghanistan,AFG,2020-11-01,104.71429,,2368.2,,,
Afghanistan,AFG,2020-11-02,114.28571,,,,,
Afghanistan,AFG,2020-11-03,99.42857,,,,,
Afghanistan,AFG,2020-11-04,95.57143,,,,,
Afghanistan,AFG,2020-11-05,112.85714,,,,,
Afghanistan,AFG,2020-11-06,101,,,,,
Afghanistan,AFG,2020-11-07,86.85714,,,,,
Afghanistan,AFG,2020-11-08,94,,,,,
Afghanistan,AFG,2020-11-09,86.57143,,,,,
Afghanistan,AFG,2020-11-10,105,,,,,
Afghanistan,AFG,2020-11-11,92.71429,,,,,
Africa,,2020-01-02,0,,,,,
Africa,,2020-01-03,0,,,,,
Africa,,2020-01-04,0,,,,,
Africa,,2020-01-05,0,,,,,
Africa,,2020-01-06,0,,,,,
Africa,,2020-01-07,0,,,,,
Africa,,2020-01-08,0,,,,,
Africa,,2020-01-09,0,,,,,
Africa,,2020-01-10,0,,,,,
Africa,,2020-01-11,0,,,,,
Africa,,2020-01-12,0,,,,,
Africa,,2020-01-13,0,,,,,
Africa,,2020-01-14,0,,,,,
Africa,,2020-01-15,0,,,,,
Africa,,2020-01-16,0,,,,,
Africa,,2020-01-17,0,,,,,
Africa,,2020-01-18,0,,,,,
Africa,,2020-01-19,0,,,,,
Africa,,2020-01-20,0,,,,,
Africa,,2020-01-21,0,,,,,
Africa,,2020-01-22,0,,,,,
Africa,,2020-01-23,0,,,,,
Africa,,2020-01-24,0,,,,,
Africa,,2020-01-25,0,,,,,
Africa,,2020-01-26,0,,,,,
Africa,,2020-01-27,0,,,,,
Africa,,2020-01-28,0,,,,,
Africa,,2020-01-29,0,,,,,
Africa,,2020-01-30,0,,,,,
Africa,,2020-01-31,0,,,,,
Africa,,2020-02-01,0,,,,,
Africa,,2020-02-02,0,,,,,
Africa,,2020-02-03,0,,,,,
Africa,,2020-02-04,0,,,,,
Africa,,2020-02-05,0,,,,,
Africa,,2020-02-06,0,,,,,
Africa,,2020-02-07,0,,,,,
Africa,,2020-02-08,0,,,,,
Africa,,2020-02-09,0,,,,,
Africa,,2020-02-10,0,,,,,
Africa,,2020-02-11,0,,,,,
Africa,,2020-02-12,0,,,,,
Africa,,2020-02-13,0,,,,,
Africa,,2020-02-14,0,,,,,
Africa,,2020-02-15,0.14286,,,,,
Africa,,2020-02-16,0.14286,,,,,
Africa,,2020-02-17,0.14286,,,,,
Africa,,2020-02-18,0.14286,,,,,
Africa,,2020-02-19,0.14286,,,,,
Africa,,2020-02-20,0.14286,,,,,
Africa,,2020-02-21,0.14286,,,,,
Africa,,2020-02-22,0,,,,,
Africa,,2020-02-23,0,,,,,
Africa,,2020-02-24,0,,,,,
Africa,,2020-02-25,0,,,,,
Africa,,2020-02-26,0.14286,,,,,
Africa,,2020-02-27,0.14286,,,,,
Africa,,2020-02-28,0.28571,,,,,
Africa,,2020-02-29,0.28571,,,,,
Africa,,2020-03-01,0.57143,,,,,
Africa,,2020-03-02,0.71429,,,,,
Africa,,2020-03-03,1.14286,,,,,
Africa,,2020-03-04,1.28571,,,,,
Africa,,2020-03-05,2.57143,,,,,
Africa,,2020-03-06,3.71429,,,,,
Africa,,2020-03-07,5.71429,,,,,
Africa,,2020-03-08,5.57143,,,,,
Africa,,2020-03-09,11,,,,,
Africa,,2020-03-10,12.28571,,,,,
Africa,,2020-03-11,13.42857,,,,,
Africa,,2020-03-12,14,,,,,
Africa,,2020-03-13,18.57143,,,,,
Africa,,2020-03-14,22.71429,,,,,
